"Reef","Site","Plot","CSP","Lat_cluster","Class","Area","Area_cm2"
"OSHE","OSHE_BA1D","OSHE_BA1D_P1","Offshore","South","Atab",0.017454123,174.54123
"OSHE","OSHE_BA1D","OSHE_BA1D_P1","Offshore","South","Atab",0.024842044,248.42044
"OSHE","OSHE_BA1D","OSHE_BA1D_P1","Offshore","South","Atab",0.021027614,210.27614
"OSHE","OSHE_BA1D","OSHE_BA1D_P1","Offshore","South","Atab",0.016758123,167.58123
"OSHE","OSHE_BA1D","OSHE_BA1D_P1","Offshore","South","Atab",0.144428659,1444.28659
"OSHE","OSHE_BA1D","OSHE_BA1D_P1","Offshore","South","Atab",0.039215339,392.15339
"OSHE","OSHE_BA1D","OSHE_BA1D_P1","Offshore","South","Atab",0.105865229,1058.65229
"OSHE","OSHE_BA1D","OSHE_BA1D_P1","Offshore","South","Atab",0.016031491,160.31491
"OSHE","OSHE_BA1D","OSHE_BA1D_P1","Offshore","South","Atab",0.051416879,514.16879
"OSHE","OSHE_BA1D","OSHE_BA1D_P1","Offshore","South","Atab",0.460492077,4604.92077
"OSHE","OSHE_BA1D","OSHE_BA1D_P1","Offshore","South","Atab",0.213157595,2131.57595
"OSHE","OSHE_BA1D","OSHE_BA1D_P1","Offshore","South","Atab",0.038521821,385.21821
"OSHE","OSHE_BA1D","OSHE_BA1D_P2","Offshore","South","Atab",0.012175583,121.75583
"OSHE","OSHE_BA1D","OSHE_BA1D_P2","Offshore","South","Pdam",0.012706663,127.06663
"OSHE","OSHE_BA1D","OSHE_BA1D_P2","Offshore","South","Atab",0.077921822,779.21822
"OSHE","OSHE_BA1D","OSHE_BA1D_P2","Offshore","South","Atab",0.028660972,286.60972
"OSHE","OSHE_BA1D","OSHE_BA1D_P2","Offshore","South","Atab",0.052822867,528.22867
"OSHE","OSHE_BA1D","OSHE_BA1D_P2","Offshore","South","Atab",0.015417321,154.17321
"OSHE","OSHE_BA1D","OSHE_BA1D_P2","Offshore","South","Atab",0.205240178,2052.40178
"OSHE","OSHE_BA1D","OSHE_BA1D_P2","Offshore","South","Atab",0.328784912,3287.84912
"OSHE","OSHE_BA1D","OSHE_BA1D_P3","Offshore","South","Atab",0.010390926,103.90926
"OSHE","OSHE_BA1D","OSHE_BA1D_P3","Offshore","South","Atab",0.020772465,207.72465
"OSHE","OSHE_BA1D","OSHE_BA1D_P3","Offshore","South","Atab",0.008798509,87.98509
"OSHE","OSHE_BA1D","OSHE_BA1D_P3","Offshore","South","Pdam",0.014624748,146.24748
"OSHE","OSHE_BA1D","OSHE_BA1D_P4","Offshore","South","Atab",0.013020953,130.20953
"OSHE","OSHE_BA1D","OSHE_BA1D_P4","Offshore","South","Atab",0.011056038,110.56038
"OSHE","OSHE_BA1D","OSHE_BA1D_P4","Offshore","South","Atab",0.016329852,163.29852
"OSHE","OSHE_BA1D","OSHE_BA1D_P4","Offshore","South","Atab",0.011408764,114.08764
"OSHE","OSHE_BA1S","OSHE_BA1S_P1","Offshore","South","Atab",0.124837089,1248.37089
"OSHE","OSHE_BA1S","OSHE_BA1S_P1","Offshore","South","Atab",0.72637994,7263.7994
"OSHE","OSHE_BA1S","OSHE_BA1S_P1","Offshore","South","Atab",0.719509446,7195.09446
"OSHE","OSHE_BA1S","OSHE_BA1S_P1","Offshore","South","Atab",0.788816865,7888.16865
"OSHE","OSHE_BA1S","OSHE_BA1S_P1","Offshore","South","Atab",0.085919592,859.19592
"OSHE","OSHE_BA1S","OSHE_BA1S_P1","Offshore","South","Atab",0.19739525,1973.9525
"OSHE","OSHE_BA1S","OSHE_BA1S_P1","Offshore","South","Atab",0.832523885,8325.23885
"OSHE","OSHE_BA1S","OSHE_BA1S_P1","Offshore","South","Atab",0.096545776,965.45776
"OSHE","OSHE_BA1S","OSHE_BA1S_P1","Offshore","South","Atab",0.029613322,296.13322
"OSHE","OSHE_BA1S","OSHE_BA1S_P1","Offshore","South","Atab",0.593617285,5936.17285
"OSHE","OSHE_BA1S","OSHE_BA1S_P1","Offshore","South","Atab",0.130935965,1309.35965
"OSHE","OSHE_BA1S","OSHE_BA1S_P1","Offshore","South","Atab",0.018735949,187.35949
"OSHE","OSHE_BA1S","OSHE_BA1S_P1","Offshore","South","Atab",0.247450248,2474.50248
"OSHE","OSHE_BA1S","OSHE_BA1S_P1","Offshore","South","Atab",0.417041749,4170.41749
"OSHE","OSHE_BA1S","OSHE_BA1S_P1","Offshore","South","Atab",0.17220134,1722.0134
"OSHE","OSHE_BA1S","OSHE_BA1S_P1","Offshore","South","Atab",0.155113166,1551.13166
"OSHE","OSHE_BA1S","OSHE_BA1S_P1","Offshore","South","Atab",0.290925731,2909.25731
"OSHE","OSHE_BA1S","OSHE_BA1S_P1","Offshore","South","Atab",0.501846662,5018.46662
"OSHE","OSHE_BA1S","OSHE_BA1S_P1","Offshore","South","Atab",0.162859863,1628.59863
"OSHE","OSHE_BA1S","OSHE_BA1S_P1","Offshore","South","Atab",0.042497486,424.97486
